name,inst_type,entity,permco,dt_start,dt_end
Arizona Bancwest Corp,Bank Holding Company,1139710,21,19860630,19861031
Amsouth Bancorporation,Bank Holding Company,1078604,25,19860630,20061104
American Express Company,Bank Holding Company,1275216,90,19860630,20181231
"Affiliated Bankshares Of Colorado, Inc.",Bank Holding Company,1049734,94,19860630,19921030
American First Corp,Bank Holding Company,1064894,96,19860630,19900831
American Fletcher Corp,Bank Holding Company,1200432,106,19860630,19870130
American Heritage Life Invs,Bank Holding Company,1080214,124,19860630,19980618
American International Group,Thrift holding company,1562176,137,19860630,20181231
Allied Bancshares Inc-Tx,Bank Holding Company,1101632,151,19860630,19880128
American Bancorporation,Bank Holding Company,1068623,196,19860630,20020301
Ameritrust Corporation,Bank Holding Company,1070082,253,19860630,19920313
"Meridian Bancorp, Inc.",Bank Holding Company,1023060,302,19860630,19960410
Associated Banc-Corp,Bank Holding Company,1199563,362,19860630,20181231
American Security Corp,Bank Holding Company,1073298,367,19860630,19870331
Bankamerica Corporation,Bank Holding Company,1026016,437,19860630,19980930
"Baybanks, Inc.",Bank Holding Company,1110344,461,19860630,19980730
"Popular, Inc.",Bank Holding Company,1129382,475,19860630,20181231
Firstar Corporation Of Iowa,Bank Holding Company,1200197,525,19860630,19910429
Mid-America Bancorp,Bank Holding Company,1098095,543,19860630,20020309
Bank South Corporation,Bank Holding Company,1079638,550,19860630,19960109
Bb&T Financial Corporation,Bank Holding Company,1074790,582,19860630,19950301
"Barnett Banks, Inc.",Bank Holding Company,1076776,586,19860630,19980109
Bank Of Hawaii Corporation,Bank Holding Company,1025309,589,19860630,20181231
"First United Bank Group, Inc.",Bank Holding Company,2033721,590,19900101,19940114
"Boatmen'S Bancshares, Inc.",Bank Holding Company,1093586,594,19860630,19970107
Bancoklahoma Corp,Bank Holding Company,1052668,599,19860630,19910606
Bank One Corporation,Bank Holding Company,1068294,606,19860630,20040701
"Brenton Banks, Inc.",Bank Holding Company,1199460,632,19860630,20051221
Central Bancorporation-Ohio,Bank Holding Company,1068687,764,19860630,19880229
Commercial Bancorporation Of Colorado,Bank Holding Company,1020331,775,19860630,19940325
"Commerce Bancshares, Inc.",Bank Holding Company,1049341,779,19860630,20181231
"Compass Bankcshares, Inc.",Bank Holding Company,1078529,780,19860630,20070928
Synovus Financial Corp.,Bank Holding Company,1078846,781,19860630,20181231
Continental Bancorp-Pa,Bank Holding Company,1116926,782,19860630,19870130
Ccb Financial Corporation,Bank Holding Company,1076039,786,19860630,20000705
Countrywide Financial Corporation,Bank Holding Company,2549857,796,19880525,20080731
"Cullen/Frost Bankers, Inc.",Bank Holding Company,1102367,840,19860630,20181231
Union Bank,Commercial Bank,212465,841,19860630,19960331
Unionbancal Corporation,Bank Holding Company,1378434,841,19960401,20081128
"Central Fidelity Banks, Inc.",Bank Holding Company,1074875,842,19860630,19971215
